term,estimate,std.error,statistic,p.value,or
(Intercept),3.4839585826619346,0.37595342520653124,9.266995188959937,1.9146366303071907e-20,32.588471232845876
as.factor(pclass)2,-1.2570298289759259,0.25517538469078427,-4.926140624806605,8.386964813146348e-7,0.2844977798957927
as.factor(pclass)3,-2.261412573510008,0.2654699594799724,-8.518525327460313,1.6159770122142996e-17,0.10420318608383713
sexmale,-2.4938097818039715,0.16699628221569487,-14.933325153807495,2.000371456692827e-50,0.08259469862552367
age,-0.034231088253463895,0.006361342086369714,-5.381111059380061,7.402750343506688e-8,0.966348167122984
fare,3.398173865293336e-4,0.0017811263246827716,0.19078791987977436,0.8486917533801812,1.0003398751309982
